Learned Formula Size,Sample size,Encoding Time,Solving Time,Formula Type,Learned Formula,Verification,Sample,Solver,Model Type,Size Bound,Original Formula,Total Time,Players,Propositions
4,40,1206.42,14.31,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:020-sm:018.sp,msat,cgs,15,<>G((p -> <1>G(p))),1220.73,2,2
2,10,7.9,0.2,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:005-sm:018.sp,msat,cgs,15,<0>F(p),8.1,2,2
3,20,1.03,0.03,atl,<>G((! p)),True,test_suite/large_cgs/CGS/f:07-nm:010-sm:003.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),1.06,2,3
2,50,446.09,2.19,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:025-sm:023.sp,msat,cgs,15,<1>X(p),448.27,2,2
5,30,475.57,27.32,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:015-sm:013.sp,msat,cgs,15,<>G((p -> <1>X(q))),502.9,2,2
5,50,325.95,38.02,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:025-sm:008.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",363.98,2,2
2,50,21.03,0.18,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:025-sm:008.sp,msat,cgs,15,<1>X(p),21.21,2,2
4,60,952.11,11.57,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:030-sm:013.sp,msat,cgs,15,<>G((p -> <1>G(p))),963.68,2,2
2,30,24.66,0.24,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:015-sm:013.sp,msat,cgs,15,<0>F(p),24.9,2,2
3,50,1528.79,7.04,atl,"<>G(<0,1>F(q))",True,test_suite/large_cgs/CGS/f:05-nm:025-sm:023.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",1535.83,2,2
6,20,8.54,1.92,atl,<>G(((p -> <>X(p)) | q)),True,test_suite/large_cgs/CGS/f:03-nm:010-sm:003.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),10.47,2,2
5,10,131.63,47.8,atl,"<>G((<0,1>G(p) -> <1>G(p)))",True,test_suite/large_cgs/CGS/f:06-nm:005-sm:018.sp,msat,cgs,15,<>G((p -> <1>X(q))),179.44,2,2
5,20,497.89,102.22,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:010-sm:018.sp,msat,cgs,15,<>G((p -> <1>X(q))),600.12,2,2
5,40,17.73,0.38,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:020-sm:003.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",18.11,2,2
,30,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:015-sm:023.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
,60,0,0,atl,,,test_suite/large_cgs/CGS/f:05-nm:030-sm:023.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",0,2,2
4,50,636.83,11.81,atl,<>G((p -> <1>G(p))),True,test_suite/large_cgs/CGS/f:04-nm:025-sm:013.sp,msat,cgs,15,<>G((p -> <1>G(p))),648.64,2,2
4,30,72.67,1.0,atl,<>X(<1>G((! p))),True,test_suite/large_cgs/CGS/f:07-nm:015-sm:008.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),73.67,2,3
2,60,29.51,0.22,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:030-sm:008.sp,msat,cgs,15,<1>X(p),29.72,2,2
4,20,111.32,2.76,atl,"<>G(<0,1>F((! p)))",True,test_suite/large_cgs/CGS/f:05-nm:010-sm:013.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",114.08,2,2
5,40,192.34,11.41,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:020-sm:008.sp,msat,cgs,15,<>G((p -> <1>X(q))),203.75,2,2
2,40,292.11,1.9,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:020-sm:023.sp,msat,cgs,15,<0>F(p),294.01,2,2
4,10,148.63,13.84,atl,<>X((p -> <1>X(p))),True,test_suite/large_cgs/CGS/f:04-nm:005-sm:023.sp,msat,cgs,15,<>G((p -> <1>G(p))),162.47,2,2
,48,0,0,atl,,,test_suite/large_cgs/CGS/f:07-nm:025-sm:018.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),0,2,3
