Model Type,Original Formula,Propositions,Encoding Time,Total Time,Learned Formula Size,Sample,Sample size,Solver,Learned Formula,Verification,Solving Time,Size Bound,Formula Type,Players
cgs,<0>F(p),2,24.75,25.0,2,test_suite/large_cgs/CGS/f:02-nm:015-sm:013.sp,30,msat,<0>F(p),True,0.25,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,1543.68,1550.6,3,test_suite/large_cgs/CGS/f:05-nm:025-sm:023.sp,50,msat,"<>G(<0,1>F(q))",True,6.92,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,8.51,9.99,6,test_suite/large_cgs/CGS/f:03-nm:010-sm:003.sp,20,msat,<>G(<0>(q U (p -> <1>G(p)))),True,1.48,20,atl,2
cgs,<>G((p -> <1>X(q))),2,132.54,179.81,5,test_suite/large_cgs/CGS/f:06-nm:005-sm:018.sp,10,msat,"<>G((<0,1>G(p) -> <1>G(p)))",True,47.28,20,atl,2
cgs,<>G((p -> <1>X(q))),2,528.93,649.93,5,test_suite/large_cgs/CGS/f:06-nm:010-sm:018.sp,20,msat,<>G((p -> <1>X(q))),True,121.0,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0.73,0.77,4,test_suite/large_cgs/CGS/f:03-nm:005-sm:003.sp,10,msat,(<0>F(p) -> <0>G(p)),True,0.04,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,17.83,18.4,5,test_suite/large_cgs/CGS/f:05-nm:020-sm:003.sp,40,msat,"<>G((p -> <0,1>F(q)))",True,0.58,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:015-sm:023.sp,30,msat,,,0,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,0,0,,test_suite/large_cgs/CGS/f:05-nm:030-sm:023.sp,60,msat,,,0,20,atl,2
cgs,<>G((p -> <1>G(p))),2,659.25,667.53,4,test_suite/large_cgs/CGS/f:04-nm:025-sm:013.sp,50,msat,<>G((p -> <1>G(p))),True,8.28,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,72.2,73.48,4,test_suite/large_cgs/CGS/f:07-nm:015-sm:008.sp,30,msat,<>X(<1>G((! p))),True,1.29,20,atl,2
cgs,<1>X(p),2,29.49,29.7,2,test_suite/large_cgs/CGS/f:01-nm:030-sm:008.sp,60,msat,<1>X(p),True,0.2,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,112.01,114.79,4,test_suite/large_cgs/CGS/f:05-nm:010-sm:013.sp,20,msat,"(<0,1>F(<>G(p)) -> <>G(p))",True,2.77,20,atl,2
cgs,<>G((p -> <1>X(q))),2,193.97,204.19,5,test_suite/large_cgs/CGS/f:06-nm:020-sm:008.sp,40,msat,<>G((p -> <1>X(q))),True,10.22,20,atl,2
cgs,<0>F(p),2,294.16,296.14,2,test_suite/large_cgs/CGS/f:02-nm:020-sm:023.sp,40,msat,<0>F(p),True,1.98,20,atl,2
cgs,<>G((p -> <1>G(p))),2,148.45,159.76,4,test_suite/large_cgs/CGS/f:04-nm:005-sm:023.sp,10,msat,"<>X((p -> <0,1>X(p)))",True,11.31,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,0,0,,test_suite/large_cgs/CGS/f:07-nm:025-sm:018.sp,48,msat,,,0,20,atl,2
cgs,<0>F(p),2,3.01,3.04,2,test_suite/large_cgs/CGS/f:02-nm:030-sm:003.sp,60,msat,<0>F(p),True,0.03,20,atl,2
cgs,<>G((p -> <1>G(p))),2,8.4,8.57,4,test_suite/large_cgs/CGS/f:04-nm:015-sm:003.sp,30,msat,<>G((p -> <1>X(p))),True,0.18,20,atl,2
cgs,<0>F(p),2,2.2,2.22,2,test_suite/large_cgs/CGS/f:02-nm:025-sm:003.sp,50,msat,<0>F(p),True,0.03,20,atl,2
cgs,<1>X(p),2,77.22,77.96,2,test_suite/large_cgs/CGS/f:01-nm:015-sm:018.sp,30,msat,<1>X(p),True,0.74,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,0,0,,test_suite/large_cgs/CGS/f:07-nm:030-sm:018.sp,53,msat,,,0,20,atl,2
cgs,<>G((p -> <1>G(p))),2,601.84,627.6,4,test_suite/large_cgs/CGS/f:04-nm:010-sm:023.sp,20,msat,"<>G((p -> <0,1>X(p)))",True,25.76,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,12.59,12.86,3,test_suite/large_cgs/CGS/f:05-nm:005-sm:013.sp,10,msat,"<>G(<0,1>F(q))",True,0.27,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,1468.1,1716.8,6,test_suite/large_cgs/CGS/f:03-nm:020-sm:013.sp,40,msat,<>G(((p -> q) | <1>X(p))),True,248.69,20,atl,2
cgs,<1>X(p),2,3.1,3.19,2,test_suite/large_cgs/CGS/f:01-nm:005-sm:013.sp,10,msat,<1>X(p),True,0.09,20,atl,2
cgs,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),3,1414.74,1883.36,6,test_suite/large_cgs/CGS/f:07-nm:020-sm:013.sp,40,msat,<>G(((! p) | <0>(p U <1>G((! p))))),True,468.62,20,atl,2
cgs,<>G((p -> <1>G(p))),2,37.25,38.75,4,test_suite/large_cgs/CGS/f:04-nm:010-sm:008.sp,20,msat,<>G((p -> <1>G(p))),True,1.5,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,1169.66,1382.19,5,test_suite/large_cgs/CGS/f:05-nm:015-sm:018.sp,30,msat,"<>G((p -> <0,1>F(q)))",True,212.53,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:030-sm:018.sp,60,msat,,,0,20,atl,2
cgs,<>G((p -> <1>X(q))),2,40.57,41.15,5,test_suite/large_cgs/CGS/f:06-nm:025-sm:003.sp,50,msat,<>G((p -> <1>X(q))),True,0.58,20,atl,2
cgs,<>G((p -> <1>X(q))),2,54.81,56.09,5,test_suite/large_cgs/CGS/f:06-nm:030-sm:003.sp,60,msat,<>G((p -> <1>X(q))),True,1.28,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,0,0,,test_suite/large_cgs/CGS/f:03-nm:025-sm:018.sp,50,msat,,,0,20,atl,2
cgs,<>G((p -> <1>X(q))),2,0,0,,test_suite/large_cgs/CGS/f:06-nm:020-sm:023.sp,40,msat,,,0,20,atl,2
cgs,<0>F(p),2,13.98,14.11,2,test_suite/large_cgs/CGS/f:02-nm:020-sm:008.sp,40,msat,<0>F(p),True,0.14,20,atl,2
cgs,<>G((p -> <1>G(p))),2,8.66,8.99,4,test_suite/large_cgs/CGS/f:04-nm:005-sm:008.sp,10,msat,<>G((p -> <1>G(p))),True,0.33,20,atl,2
cgs,<1>X(p),2,14.09,14.3,2,test_suite/large_cgs/CGS/f:01-nm:010-sm:013.sp,20,msat,<1>X(p),True,0.2,20,atl,2
cgs,<>G(((p & (! q)) -> <1>G(p))),2,40.15,47.35,6,test_suite/large_cgs/CGS/f:03-nm:020-sm:003.sp,40,msat,<>G(((p -> q) | <1>G(p))),True,7.21,20,atl,2
cgs,"<>G((p -> <0,1>F(q)))",2,1.15,1.21,4,test_suite/large_cgs/CGS/f:05-nm:005-sm:003.sp,10,msat,(<1>F(p) -> q),True,0.06,20,atl,2
