Sample size,Solving Time,Verification,Original Formula,Formula Type,Size Bound,Sample,Solver,Encoding Time,Total Time,Learned Formula Size,Model Type,Learned Formula
120,0.57,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:060-sm:005.sp,msat,47.23,47.81,3,kripke,AG(EF(q))
20,1.59,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:010-sm:005.sp,msat,6.07,7.66,5,kripke,AG(!((q)&(p)))
100,0,,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:050-sm:035.sp,msat,0,0,,kripke,
40,1.0,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:020-sm:005.sp,msat,20.23,21.22,5,kripke,AG((p)->(AF(q)))
120,0,,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:060-sm:035.sp,msat,0,0,,kripke,
20,15.05,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:010-sm:035.sp,msat,106.68,121.73,4,kripke,AG((p)|(q))
100,1.11,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:050-sm:005.sp,msat,52.74,53.85,4,kripke,AG((q)|(p))
80,27.64,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:040-sm:025.sp,msat,719.78,747.41,4,kripke,AG((p)|(q))
60,234.52,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:030-sm:025.sp,msat,682.36,916.87,5,kripke,AG((p)->(AF(q)))
120,13.46,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:060-sm:015.sp,msat,538.11,551.56,4,kripke,AG((p)|(q))
40,29.42,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:020-sm:025.sp,msat,191.15,220.58,4,kripke,AG((p)|(q))
100,681.14,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:050-sm:025.sp,msat,1844.66,2525.8,5,kripke,AG((p)->(AF(q)))
20,41.4,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:010-sm:015.sp,msat,31.78,73.17,5,kripke,AG((p)->(AF(q)))
80,3.07,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:040-sm:005.sp,msat,67.43,70.5,5,kripke,AG((p)->(AF(q)))
60,0.62,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:030-sm:005.sp,msat,16.88,17.5,4,kripke,AG((q)|(p))
80,26.58,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:040-sm:035.sp,msat,761.45,788.03,3,kripke,AG(EF(q))
60,714.93,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:030-sm:035.sp,msat,1427.75,2142.68,5,kripke,!(EF((q)&(p)))
120,0,,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:060-sm:025.sp,msat,0,0,,kripke,
40,77.12,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:020-sm:015.sp,msat,118.74,195.86,5,kripke,AG(!((q)&(p)))
100,3.54,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:050-sm:015.sp,msat,194.9,198.44,3,kripke,AG(EF(q))
20,3.43,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:010-sm:025.sp,msat,30.04,33.46,3,kripke,AG(EF(q))
20,123.72,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:010-sm:025.sp,msat,86.28,210.0,5,kripke,AG((EX(q))->(p))
100,107.82,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:050-sm:015.sp,msat,545.82,653.64,5,kripke,AG((EX(q))->(p))
40,1.73,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:020-sm:015.sp,msat,34.15,35.89,3,kripke,AG(AF(p))
120,17.49,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:060-sm:025.sp,msat,767.39,784.88,3,kripke,AG(AF(p))
60,19.32,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:030-sm:035.sp,msat,407.01,426.32,3,kripke,AG(AF(p))
80,0,,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:040-sm:035.sp,msat,0,0,,kripke,
80,11.68,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:040-sm:005.sp,msat,108.58,120.26,6,kripke,AG((AF(p))&(AF(q)))
20,0.69,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:010-sm:015.sp,msat,9.74,10.44,3,kripke,AG(AF(q))
100,0,,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:050-sm:025.sp,msat,0,0,,kripke,
120,0,,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:060-sm:025.sp,msat,0,0,,kripke,
40,74.43,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:020-sm:015.sp,msat,93.02,167.45,5,kripke,AG((EX(q))->(p))
100,3.65,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:050-sm:015.sp,msat,182.73,186.38,3,kripke,AG(AF(p))
20,2.27,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:010-sm:025.sp,msat,27.98,30.26,3,kripke,AX(AF(p))
80,29.04,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:040-sm:035.sp,msat,733.39,762.43,3,kripke,AG(AF(p))
60,272.51,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:030-sm:035.sp,msat,1368.51,1641.03,5,kripke,AG((EX(q))->(p))
60,5.36,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:030-sm:005.sp,msat,56.68,62.04,6,kripke,AG(AF((AF(q))&(p)))
120,0,,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:060-sm:015.sp,msat,0,0,,kripke,
40,6.12,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:020-sm:025.sp,msat,89.17,95.29,3,kripke,AG(AF(p))
20,6.92,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:010-sm:015.sp,msat,16.94,23.86,4,kripke,AG((q)|(p))
100,109.36,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:050-sm:025.sp,msat,1105.33,1214.69,4,kripke,AG((q)|(p))
40,324.97,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:020-sm:025.sp,msat,309.49,634.46,5,kripke,AG((p)->(AF(q)))
120,179.66,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:060-sm:015.sp,msat,970.02,1149.67,5,kripke,AG((p)->(AF(q)))
60,3.0,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:030-sm:005.sp,msat,40.55,43.55,5,kripke,AG((p)->(AF(q)))
80,0.62,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:040-sm:005.sp,msat,29.33,29.95,4,kripke,AG((q)|(p))
60,24.05,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:030-sm:035.sp,msat,442.74,466.79,3,kripke,AG(EF(q))
80,0,,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:040-sm:035.sp,msat,0,0,,kripke,
20,68.88,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:010-sm:025.sp,msat,88.57,157.45,5,kripke,AG((p)->(!(q)))
100,139.12,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:050-sm:015.sp,msat,664.16,803.28,5,kripke,AG((q)->(!(p)))
40,1.44,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:020-sm:015.sp,msat,32.47,33.9,3,kripke,AG(EF(q))
120,23.05,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:060-sm:025.sp,msat,847.98,871.03,3,kripke,AG(EF(q))
60,40.78,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:030-sm:015.sp,msat,254.09,294.86,5,kripke,AG((q)->(!(p)))
80,2.43,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:040-sm:015.sp,msat,122.06,124.48,3,kripke,AG(EF(q))
100,30.43,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:050-sm:035.sp,msat,1163.54,1193.96,3,kripke,AG(EF(q))
20,0.06,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:010-sm:005.sp,msat,1.24,1.31,3,kripke,AG(EF(q))
120,3.07,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:060-sm:005.sp,msat,144.75,147.82,5,kripke,!(EF((q)&(p)))
40,579.67,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:020-sm:035.sp,msat,661.11,1240.79,5,kripke,AG((q)->(!(p)))
100,6.04,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:050-sm:005.sp,msat,108.82,114.86,5,kripke,AG((p)->(AF(q)))
20,443.11,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:010-sm:035.sp,msat,176.8,619.91,5,kripke,AG((p)->(AF(q)))
120,0,,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:060-sm:035.sp,msat,0,0,,kripke,
40,0.33,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:020-sm:005.sp,msat,7.72,8.05,4,kripke,AG((p)|(q))
60,57.95,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:030-sm:025.sp,msat,412.23,470.18,4,kripke,AG((p)|(q))
80,356.19,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:040-sm:025.sp,msat,1223.18,1579.38,5,kripke,AG((p)->(AF(q)))
80,11.97,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:040-sm:025.sp,msat,338.62,350.59,3,kripke,AG(AF(p))
20,7.74,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:010-sm:035.sp,msat,56.74,64.48,3,kripke,AG(AF(p))
100,23.61,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:050-sm:005.sp,msat,154.37,177.98,6,kripke,AG((AF(q))&(AF(p)))
40,11.97,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:020-sm:035.sp,msat,187.19,199.16,3,kripke,AG(AF(p))
120,0.53,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:060-sm:005.sp,msat,35.67,36.2,3,kripke,AG(AF(p))
20,0.76,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:010-sm:005.sp,msat,4.87,5.63,5,kripke,AG((AX(q))->(p))
100,0,,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:050-sm:035.sp,msat,0,0,,kripke,
80,99.74,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:040-sm:015.sp,msat,359.67,459.41,5,kripke,AG((EX(q))->(p))
60,2.9,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:030-sm:015.sp,msat,70.71,73.61,3,kripke,AG(AF(p))
60,107.86,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:030-sm:035.sp,msat,833.52,941.38,4,kripke,AG((q)|(p))
80,0,,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:040-sm:035.sp,msat,0,0,,kripke,
100,166.83,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:050-sm:015.sp,msat,695.72,862.55,5,kripke,AG((p)->(AF(q)))
20,19.66,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:010-sm:025.sp,msat,56.39,76.05,4,kripke,AG(EX(AF(q)))
120,170.18,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:060-sm:025.sp,msat,1596.9,1767.08,4,kripke,AG((q)|(p))
40,8.6,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:020-sm:015.sp,msat,65.77,74.36,4,kripke,AG((q)|(p))
100,15.33,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:050-sm:025.sp,msat,581.84,597.17,3,kripke,AG(EF(q))
20,0.69,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:010-sm:015.sp,msat,9.0,9.69,3,kripke,AG(EF(q))
120,183.59,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:060-sm:015.sp,msat,913.53,1097.13,5,kripke,AG((p)->(!(q)))
40,247.14,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:020-sm:025.sp,msat,315.38,562.52,5,kripke,AG((q)->(!(p)))
60,2.06,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:030-sm:005.sp,msat,39.61,41.67,5,kripke,AG((p)->(!(q)))
80,0.54,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:040-sm:005.sp,msat,21.57,22.11,3,kripke,AG(EF(q))
80,2.12,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:040-sm:005.sp,msat,51.73,53.84,5,kripke,AG((EX(q))->(p))
60,0.25,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:030-sm:005.sp,msat,8.54,8.78,3,kripke,AG(AF(p))
40,5.82,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:020-sm:025.sp,msat,98.34,104.15,3,kripke,AG(AF(p))
120,5.8,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:060-sm:015.sp,msat,268.69,274.49,3,kripke,AG(AF(p))
20,33.19,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:010-sm:015.sp,msat,25.75,58.94,5,kripke,AG((EX(q))->(p))
100,605.8,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:050-sm:025.sp,msat,1819.58,2425.39,5,kripke,AG((EX(q))->(p))
20,2.09,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:010-sm:025.sp,msat,26.07,28.16,3,kripke,AG(AF(q))
100,0,,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:050-sm:015.sp,msat,0,0,,kripke,
80,28.82,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:040-sm:035.sp,msat,727.08,755.91,3,kripke,AG(AF(p))
120,16.03,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:060-sm:005.sp,msat,221.47,237.49,6,kripke,AG((AF(q))&(AF(p)))
40,12.62,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:020-sm:035.sp,msat,198.55,211.17,3,kripke,AG(AF(p))
60,0,,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:030-sm:015.sp,msat,0,0,,kripke,
80,11.73,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:040-sm:025.sp,msat,350.91,362.63,3,kripke,AG(AF(p))
60,432.21,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:030-sm:025.sp,msat,687.81,1120.02,5,kripke,AG((EX(q))->(p))
120,0,,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:060-sm:035.sp,msat,0,0,,kripke,
40,1.67,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:020-sm:005.sp,msat,14.84,16.51,5,kripke,AG((EX(q))->(p))
100,0.45,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:050-sm:005.sp,msat,24.33,24.78,3,kripke,AG(AF(p))
20,6.45,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:010-sm:035.sp,msat,52.86,59.31,3,kripke,AG(AF(p))
20,222.0,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:010-sm:035.sp,msat,185.33,407.33,5,kripke,AG(!((q)&(p)))
100,5.97,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:050-sm:005.sp,msat,100.4,106.37,5,kripke,!(EF((p)&(q)))
40,0.19,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:020-sm:005.sp,msat,4.78,4.97,3,kripke,AG(EF(q))
120,46.36,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:060-sm:035.sp,msat,1691.09,1737.44,3,kripke,AG(EF(q))
60,10.33,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:030-sm:025.sp,msat,221.76,232.09,3,kripke,AG(EF(q))
80,419.75,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:040-sm:025.sp,msat,1223.62,1643.36,5,kripke,AG(!((q)&(p)))
60,67.7,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:030-sm:015.sp,msat,253.33,321.03,5,kripke,AG((p)->(AF(q)))
80,8.5,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:040-sm:015.sp,msat,246.51,255.01,4,kripke,AG((q)|(p))
20,0.18,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:010-sm:005.sp,msat,2.32,2.5,4,kripke,AG((p)|(q))
100,92.18,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:050-sm:035.sp,msat,2061.99,2154.17,4,kripke,AG((p)|(q))
40,651.91,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:020-sm:035.sp,msat,639.22,1291.13,5,kripke,AG((p)->(AF(q)))
120,5.18,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:060-sm:005.sp,msat,159.92,165.11,5,kripke,AG((p)->(AF(q)))
120,0,,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:060-sm:035.sp,msat,0,0,,kripke,
40,1.9,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:020-sm:005.sp,msat,17.51,19.41,5,kripke,AG(!((p)&(q)))
100,0.48,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:050-sm:005.sp,msat,33.28,33.76,3,kripke,AG(EF(q))
20,6.53,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:010-sm:035.sp,msat,58.23,64.76,3,kripke,AG(EF(q))
80,12.25,True,AG(EF(q)),ctl,15,test_suite/mod_large_random/Kripke/f:02-nm:040-sm:025.sp,msat,377.69,389.94,3,kripke,AG(EF(q))
60,348.72,True,AG((!(p))|(!(q))),ctl,15,test_suite/mod_large_random/Kripke/f:05-nm:030-sm:025.sp,msat,683.08,1031.8,5,kripke,AG(!((p)&(q)))
80,156.26,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:040-sm:015.sp,msat,457.15,613.4,5,kripke,AG((p)->(AF(q)))
60,11.94,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:030-sm:015.sp,msat,137.06,149.0,4,kripke,AG((q)|(p))
120,1.42,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:060-sm:005.sp,msat,74.88,76.3,4,kripke,AG((p)|(q))
40,44.87,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:020-sm:035.sp,msat,379.68,424.55,4,kripke,AG((q)|(p))
100,0,,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:050-sm:035.sp,msat,0,0,,kripke,
20,1.06,True,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:010-sm:005.sp,msat,5.42,6.48,5,kripke,AG((p)->(AF(q)))
20,0.07,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:010-sm:005.sp,msat,1.31,1.38,3,kripke,AG(AF(p))
100,24.99,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:050-sm:035.sp,msat,1069.93,1094.91,3,kripke,AG(AF(p))
80,0,,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:040-sm:015.sp,msat,0,0,,kripke,
60,9.72,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:030-sm:025.sp,msat,200.99,210.71,3,kripke,AG(AF(p))
80,505.24,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:040-sm:025.sp,msat,1205.48,1710.72,5,kripke,AG((EX(q))->(p))
20,67.81,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:010-sm:035.sp,msat,185.93,253.74,5,kripke,!(AX(EX(EX(q))))
100,1.85,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:050-sm:005.sp,msat,74.9,76.75,5,kripke,AG((EX(q))->(p))
40,0.14,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:020-sm:005.sp,msat,3.79,3.93,3,kripke,AG(AF(p))
120,38.03,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:060-sm:035.sp,msat,1582.87,1620.9,3,kripke,AG(AF(p))
60,2.47,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:030-sm:005.sp,msat,29.43,31.9,5,kripke,AG((EX(q))->(p))
80,0.34,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:040-sm:005.sp,msat,15.09,15.43,3,kripke,AG(AF(p))
100,12.44,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:050-sm:025.sp,msat,525.36,537.8,3,kripke,AG(AF(p))
20,0.72,True,AG(AF(p)),ctl,15,test_suite/mod_large_random/Kripke/f:01-nm:010-sm:015.sp,msat,9.48,10.2,3,kripke,AG(AF(p))
120,133.5,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:060-sm:015.sp,msat,816.85,950.35,5,kripke,AG((EX(q))->(p))
40,442.82,True,AG((p)|(AX(!(q)))),ctl,15,test_suite/mod_large_random/Kripke/f:06-nm:020-sm:025.sp,msat,321.68,764.5,5,kripke,AG((EX(q))->(p))
120,0,,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:060-sm:025.sp,msat,0,0,,kripke,
40,433.87,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:020-sm:015.sp,msat,170.73,604.61,6,kripke,AG(AF((AF(q))&(p)))
60,19.38,True,(AG(AF(p)))&(AG(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:07-nm:030-sm:035.sp,msat,412.09,431.48,3,kripke,AG(AF(p))
80,66.68,True,AG((p)|(q)),ctl,15,test_suite/mod_large_random/Kripke/f:04-nm:040-sm:035.sp,msat,1468.94,1535.62,4,kripke,AG((p)|(q))
60,0,,AG((p)->(AF(q))),ctl,15,test_suite/mod_large_random/Kripke/f:03-nm:030-sm:035.sp,msat,0,0,,kripke,
