Sample size,Solver,Propositions,Players,Size Bound,Encoding Time,Total Time,Verification,Model Type,Sample,Solving Time,Learned Formula,Learned Formula Size,Original Formula,Formula Type
50,msat,2,2,15,8.32,8.51,True,cgs,test_suite/large_cgs/CGS/f:01-nm:025-sm:008.sp,0.18,<1>X(p),2,<1>X(p),atl
60,msat,2,2,15,272.78,292.14,True,cgs,test_suite/large_cgs/CGS/f:04-nm:030-sm:013.sp,19.36,<>G((p -> <1>G(p))),4,<>G((p -> <1>G(p))),atl
30,msat,2,2,15,7.9,8.14,True,cgs,test_suite/large_cgs/CGS/f:02-nm:015-sm:013.sp,0.24,<0>F(p),2,<0>F(p),atl
50,msat,2,2,15,262.7,268.44,True,cgs,test_suite/large_cgs/CGS/f:05-nm:025-sm:023.sp,5.73,"<>G(<0,1>F(q))",3,"<>G((p -> <0,1>F(q)))",atl
20,msat,2,2,15,5.4,8.0,True,cgs,test_suite/large_cgs/CGS/f:03-nm:010-sm:003.sp,2.6,<1>G(((p -> q) | <1>X(p))),6,<>G(((p & (! q)) -> <1>G(p))),atl
10,msat,2,2,15,33.53,60.21,True,cgs,test_suite/large_cgs/CGS/f:06-nm:005-sm:018.sp,26.69,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
20,msat,2,2,15,122.65,253.53,True,cgs,test_suite/large_cgs/CGS/f:06-nm:010-sm:018.sp,130.88,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
40,msat,2,2,15,10.36,10.87,True,cgs,test_suite/large_cgs/CGS/f:05-nm:020-sm:003.sp,0.51,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
30,msat,2,2,15,0,0,,cgs,test_suite/large_cgs/CGS/f:03-nm:015-sm:023.sp,0,,,<>G(((p & (! q)) -> <1>G(p))),atl
60,msat,2,2,15,1685.64,2546.51,True,cgs,test_suite/large_cgs/CGS/f:05-nm:030-sm:023.sp,860.87,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
50,msat,2,2,15,186.09,201.53,True,cgs,test_suite/large_cgs/CGS/f:04-nm:025-sm:013.sp,15.43,<>G((p -> <1>G(p))),4,<>G((p -> <1>G(p))),atl
30,msat,3,2,15,28.27,29.41,True,cgs,test_suite/large_cgs/CGS/f:07-nm:015-sm:008.sp,1.14,<>X((! <0>F(p))),4,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
60,msat,2,2,15,11.31,11.53,True,cgs,test_suite/large_cgs/CGS/f:01-nm:030-sm:008.sp,0.22,<1>X(p),2,<1>X(p),atl
20,msat,2,2,15,32.95,34.86,True,cgs,test_suite/large_cgs/CGS/f:05-nm:010-sm:013.sp,1.92,<>G((! <>G(p))),4,"<>G((p -> <0,1>F(q)))",atl
40,msat,2,2,15,78.29,104.83,True,cgs,test_suite/large_cgs/CGS/f:06-nm:020-sm:008.sp,26.54,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
40,msat,2,2,15,49.89,51.14,True,cgs,test_suite/large_cgs/CGS/f:02-nm:020-sm:023.sp,1.25,<0>F(p),2,<0>F(p),atl
10,msat,2,2,15,29.14,35.19,True,cgs,test_suite/large_cgs/CGS/f:04-nm:005-sm:023.sp,6.04,"<>X((p -> <0,1>G(p)))",4,<>G((p -> <1>G(p))),atl
48,msat,3,2,15,647.5,903.26,True,cgs,test_suite/large_cgs/CGS/f:07-nm:025-sm:018.sp,255.76,<>G((p -> <0>X(r))),5,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
60,msat,2,2,15,1.66,1.69,True,cgs,test_suite/large_cgs/CGS/f:02-nm:030-sm:003.sp,0.04,<0>F(p),2,<0>F(p),atl
30,msat,2,2,15,4.62,4.81,True,cgs,test_suite/large_cgs/CGS/f:04-nm:015-sm:003.sp,0.19,<>G((p -> <1>G(p))),4,<>G((p -> <1>G(p))),atl
50,msat,2,2,15,1.24,1.26,True,cgs,test_suite/large_cgs/CGS/f:02-nm:025-sm:003.sp,0.03,<0>F(p),2,<0>F(p),atl
30,msat,2,2,15,16.41,16.91,True,cgs,test_suite/large_cgs/CGS/f:01-nm:015-sm:018.sp,0.5,<1>X(p),2,<1>X(p),atl
53,msat,3,2,15,771.01,1288.88,True,cgs,test_suite/large_cgs/CGS/f:07-nm:030-sm:018.sp,517.87,<>G((p -> <0>X(r))),5,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
20,msat,2,2,15,108.17,132.86,True,cgs,test_suite/large_cgs/CGS/f:04-nm:010-sm:023.sp,24.68,"<>G((p -> <0,1>X(p)))",4,<>G((p -> <1>G(p))),atl
10,msat,2,2,15,1.18,1.26,True,cgs,test_suite/large_cgs/CGS/f:01-nm:005-sm:013.sp,0.08,<1>X(p),2,<1>X(p),atl
40,msat,3,2,15,395.91,1114.75,True,cgs,test_suite/large_cgs/CGS/f:07-nm:020-sm:013.sp,718.85,<>G((p -> <0>X(<1>X(q)))),6,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
20,msat,2,2,15,14.28,17.28,True,cgs,test_suite/large_cgs/CGS/f:04-nm:010-sm:008.sp,3.0,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
60,msat,2,2,15,30.41,31.82,True,cgs,test_suite/large_cgs/CGS/f:06-nm:030-sm:003.sp,1.41,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
50,msat,2,2,15,0,0,,cgs,test_suite/large_cgs/CGS/f:03-nm:025-sm:018.sp,0,,,<>G(((p & (! q)) -> <1>G(p))),atl
40,msat,2,2,15,798.97,965.9,True,cgs,test_suite/large_cgs/CGS/f:06-nm:020-sm:023.sp,166.94,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
40,msat,2,2,15,5.16,5.28,True,cgs,test_suite/large_cgs/CGS/f:02-nm:020-sm:008.sp,0.12,<0>F(p),2,<0>F(p),atl
10,msat,2,2,15,3.99,4.47,True,cgs,test_suite/large_cgs/CGS/f:04-nm:005-sm:008.sp,0.48,"<1>G((<0,1>X(p) -> p))",4,<>G((p -> <1>G(p))),atl
20,msat,2,2,15,4.02,4.19,True,cgs,test_suite/large_cgs/CGS/f:01-nm:010-sm:013.sp,0.17,<1>X(p),2,<1>X(p),atl
40,msat,2,2,15,24.32,27.72,True,cgs,test_suite/large_cgs/CGS/f:03-nm:020-sm:003.sp,3.4,<>G(<0>(q U (p -> <1>G(p)))),6,<>G(((p & (! q)) -> <1>G(p))),atl
10,msat,2,2,15,0.68,0.73,True,cgs,test_suite/large_cgs/CGS/f:05-nm:005-sm:003.sp,0.05,(<1>F(p) -> q),4,"<>G((p -> <0,1>F(q)))",atl
60,msat,3,2,15,0,0,,cgs,test_suite/large_cgs/CGS/f:07-nm:030-sm:008.sp,0,,,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
50,msat,3,2,15,235.3,455.78,True,cgs,test_suite/large_cgs/CGS/f:07-nm:025-sm:008.sp,220.48,"(! <0,1>((! p) U <0,1>X(<0>F(p))))",6,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
30,msat,2,2,15,70.39,79.0,True,cgs,test_suite/large_cgs/CGS/f:04-nm:015-sm:013.sp,8.6,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
60,msat,2,2,15,29.73,30.23,True,cgs,test_suite/large_cgs/CGS/f:02-nm:030-sm:013.sp,0.5,<0>F(p),2,<0>F(p),atl
50,msat,2,2,15,0,0,,cgs,test_suite/large_cgs/CGS/f:03-nm:025-sm:023.sp,0,,,<>G(((p & (! q)) -> <1>G(p))),atl
20,msat,2,2,15,3.03,3.21,True,cgs,test_suite/large_cgs/CGS/f:05-nm:010-sm:003.sp,0.17,<>X((<1>X(p) -> q)),5,"<>G((p -> <0,1>F(q)))",atl
40,msat,2,2,15,475.07,854.46,True,cgs,test_suite/large_cgs/CGS/f:06-nm:020-sm:018.sp,379.39,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
10,msat,2,2,15,16.72,19.13,True,cgs,test_suite/large_cgs/CGS/f:04-nm:005-sm:018.sp,2.41,"<>G((p -> <0,1>X(p)))",4,<>G((p -> <1>G(p))),atl
40,msat,2,2,15,27.98,28.76,True,cgs,test_suite/large_cgs/CGS/f:02-nm:020-sm:018.sp,0.78,<0>F(p),2,<0>F(p),atl
20,msat,2,2,15,0.3,0.31,True,cgs,test_suite/large_cgs/CGS/f:01-nm:010-sm:003.sp,0.01,<1>X(p),2,<1>X(p),atl
26,msat,3,2,15,75.21,77.96,True,cgs,test_suite/large_cgs/CGS/f:07-nm:025-sm:023.sp,2.76,<>G((! p)),3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
60,msat,2,2,15,528.71,714.36,True,cgs,test_suite/large_cgs/CGS/f:06-nm:030-sm:013.sp,185.65,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
50,msat,2,2,15,233.19,591.8,True,cgs,test_suite/large_cgs/CGS/f:03-nm:025-sm:008.sp,358.61,<>G((<1>G(p) | (p -> q))),6,<>G(((p & (! q)) -> <1>G(p))),atl
60,msat,2,2,15,330.72,698.26,True,cgs,test_suite/large_cgs/CGS/f:03-nm:030-sm:008.sp,367.55,<>G((p -> (q | <1>G(p)))),6,<>G(((p & (! q)) -> <1>G(p))),atl
