Sample,Original Formula,Propositions,Solving Time,Encoding Time,Total Time,Learned Formula Size,Sample size,Solver,Learned Formula,Verification,Size Bound,Formula Type,Players,Positive,Negative,Size Lower,Size Upper,Verification,Total_Time_TB,Encoding_Time_TB,Learned Formula Size_TB,Solving Time_TB,Learned Formula_TB
test_suite/large_cgs/CGS/f:06-nm:020-sm:003.sp,<>G((p -> <1>X(q))),2,0.91,27.49,28.4,5,40,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,20,20,1,5,TRUE,16.19,15.69,5,0.51,<>G((p -> <1>X(q)))
test_suite/large_cgs/CGS/f:06-nm:025-sm:003.sp,<>G((p -> <1>X(q))),2,0.58,40.57,41.15,5,50,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,25,25,1,5,TRUE,24.87,23.59,5,1.28,<>G((p -> <1>X(q)))
test_suite/large_cgs/CGS/f:06-nm:030-sm:003.sp,<>G((p -> <1>X(q))),2,1.28,54.81,56.09,5,60,msat,<>G((p -> <1>X(q))),TRUE,20,atl,2,30,30,1,5,TRUE,31.29,29.86,5,1.42,<>G((p -> <1>X(q)))
test_suite/large_cgs/CGS/f:01-nm:005-sm:008.sp,<1>X(p),2,0.03,1.06,1.1,2,10,msat,<1>X(p),TRUE,20,atl,2,5,5,6,10,TRUE,0.56,0.52,2,0.03,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:010-sm:008.sp,<1>X(p),2,0.07,3.72,3.79,2,20,msat,<1>X(p),TRUE,20,atl,2,10,10,6,10,TRUE,1.63,1.56,2,0.07,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:015-sm:008.sp,<1>X(p),2,0.1,8.85,8.95,2,30,msat,<1>X(p),TRUE,20,atl,2,15,15,6,10,TRUE,3.41,3.3,2,0.11,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:020-sm:008.sp,<1>X(p),2,0.14,14.59,14.73,2,40,msat,<1>X(p),TRUE,20,atl,2,20,20,6,10,TRUE,5.59,5.43,2,0.15,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:025-sm:008.sp,<1>X(p),2,0.18,20.82,21,2,50,msat,<1>X(p),TRUE,20,atl,2,25,25,6,10,TRUE,8.37,8.18,2,0.18,<1>X(p)
test_suite/large_cgs/CGS/f:01-nm:030-sm:008.sp,<1>X(p),2,0.2,29.49,29.7,2,60,msat,<1>X(p),TRUE,20,atl,2,30,30,6,10,TRUE,11.76,11.54,2,0.22,<1>X(p)
test_suite/large_cgs/CGS/f:02-nm:005-sm:008.sp,<0>F(p),2,0.02,0.82,0.84,2,10,msat,<0>F(p),TRUE,20,atl,2,5,5,6,10,TRUE,0.37,0.35,2,0.02,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:010-sm:008.sp,<0>F(p),2,0.05,3.07,3.12,2,20,msat,<0>F(p),TRUE,20,atl,2,10,10,6,10,TRUE,1.31,1.26,2,0.05,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:015-sm:008.sp,<0>F(p),2,0.09,7.31,7.39,2,30,msat,<0>F(p),TRUE,20,atl,2,15,15,6,10,TRUE,2.95,2.86,2,0.09,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:020-sm:008.sp,<0>F(p),2,0.14,13.98,14.11,2,40,msat,<0>F(p),TRUE,20,atl,2,20,20,6,10,TRUE,5.31,5.2,2,0.12,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:025-sm:008.sp,<0>F(p),2,0.18,21.43,21.61,2,50,msat,<0>F(p),TRUE,20,atl,2,25,25,6,10,TRUE,7.97,7.8,2,0.16,<0>F(p)
test_suite/large_cgs/CGS/f:02-nm:030-sm:008.sp,<0>F(p),2,0.21,31.2,31.41,2,60,msat,<0>F(p),TRUE,20,atl,2,30,30,6,10,TRUE,12.09,11.88,2,0.2,<0>F(p)
test_suite/large_cgs/CGS/f:03-nm:005-sm:008.sp,<>G(((p & (! q)) -> <1>G(p))),2,5.33,14.88,20.21,5,10,msat,<0>G(<1>X((p -> <1>G(p)))),TRUE,20,atl,2,5,5,6,10,TRUE,8.9,6.37,5,2.53,<>G((<1>X(p) -> <1>X(<1>X(p))))
test_suite/large_cgs/CGS/f:03-nm:010-sm:008.sp,<>G(((p & (! q)) -> <1>G(p))),2,228.61,98.75,327.35,6,20,msat,<>G(((p -> <1>G(p)) | q)),TRUE,20,atl,2,10,10,6,10,TRUE,95.69,41.06,6,54.63,<>G((p -> (q | <1>G(p))))
test_suite/large_cgs/CGS/f:03-nm:015-sm:008.sp,<>G(((p & (! q)) -> <1>G(p))),2,213.68,227.55,441.23,6,30,msat,<>G((p -> (q | <1>G(p)))),TRUE,20,atl,2,15,15,6,10,TRUE,197.6,91.7,6,105.9,<>G((q | (p -> <1>G(p))))
test_suite/large_cgs/CGS/f:03-nm:020-sm:008.sp,<>G(((p & (! q)) -> <1>G(p))),2,139.86,368.71,508.57,6,40,msat,<>G(((p -> q) | <1>G(p))),TRUE,20,atl,2,20,20,6,10,TRUE,416.2,153.54,6,262.66,<>G((p -> (<1>G(p) | q)))
test_suite/large_cgs/CGS/f:03-nm:025-sm:008.sp,<>G(((p & (! q)) -> <1>G(p))),2,116.22,556.68,672.89,6,50,msat,<>G((<1>G(p) | (p -> q))),TRUE,20,atl,2,25,25,6,10,TRUE,558.91,229.57,6,329.34,<>G((<1>G(p) | (p -> q)))
test_suite/large_cgs/CGS/f:03-nm:030-sm:008.sp,<>G(((p & (! q)) -> <1>G(p))),2,93.5,800.34,893.84,6,60,msat,<>G((<1>G(p) | (p -> q))),TRUE,20,atl,2,30,30,6,10,TRUE,693.14,332.26,6,360.89,<>G((p -> (q | <1>G(p))))
test_suite/large_cgs/CGS/f:04-nm:005-sm:008.sp,<>G((p -> <1>G(p))),2,0.33,8.66,8.99,4,10,msat,<>G((p -> <1>G(p))),TRUE,20,atl,2,5,5,6,10,TRUE,4.5,4.01,4,0.49,"<1>G((<0,1>X(p) -> p))"
test_suite/large_cgs/CGS/f:04-nm:010-sm:008.sp,<>G((p -> <1>G(p))),2,1.5,37.25,38.75,4,20,msat,<>G((p -> <1>G(p))),TRUE,20,atl,2,10,10,6,10,TRUE,16.69,14.16,4,2.53,<>G((p -> <1>G(p)))
test_suite/large_cgs/CGS/f:04-nm:015-sm:008.sp,<>G((p -> <1>G(p))),2,2.83,78.79,81.62,4,30,msat,<>G((p -> <1>G(p))),TRUE,20,atl,2,15,15,6,10,TRUE,32.41,29.18,4,3.23,<>G((p -> <1>X(p)))
test_suite/large_cgs/CGS/f:04-nm:020-sm:008.sp,<>G((p -> <1>G(p))),2,2.97,139.18,142.15,4,40,msat,<>G((p -> <1>G(p))),TRUE,20,atl,2,20,20,6,10,TRUE,52.24,48.84,4,3.4,<>G((p -> <1>X(p)))
